asn,Count
AS14178,2
AS15440,2
AS23089,2
AS36692,2
AS41881,2
AS45061,2
AS58087,2
AS206888,2
AS262865,2
AS4538,2
AS9694,2
AS17884,2
AS42695,2
AS2027,1
AS4686,1
AS4804,1
AS5391,1
AS7456,1
AS7861,1
AS8399,1
AS8449,1
AS8562,1
AS9051,1
AS9145,1
AS10474,1
AS11290,1
AS11845,1
AS12150,1
AS12488,1
AS12708,1
AS15582,1
AS15830,1
AS15919,1
AS17444,1
AS20750,1
AS21005,1
AS21479,1
AS22611,1
AS23888,1
AS24492,1
AS24556,1
AS25035,1
AS25139,1
AS25607,1
AS27932,1
AS28665,1
AS28944,1
AS29030,1
AS29091,1
AS29262,1
AS30092,1
AS30953,1
AS30988,1
AS31510,1
AS32244,1
AS32475,1
AS34168,1
AS34342,1
AS34584,1
AS35986,1
AS37053,1
AS37336,1
AS37350,1
AS38121,1
AS38710,1
AS39368,1
AS41412,1
AS42116,1
AS42730,1
AS42841,1
AS43684,1
AS44061,1
AS44285,1
AS44395,1
AS44869,1
AS46785,1
AS46805,1
AS47118,1
AS48309,1
AS48763,1
AS49424,1
AS50010,1
AS50266,1
AS51200,1
AS51247,1
AS52794,1
AS54614,1
AS54641,1
AS55684,1
AS57835,1
AS58477,1
AS58507,1
AS58854,1
AS61263,1
AS63131,1
AS63787,1
AS131267,1
AS131767,1
AS132165,1
AS133273,1
AS134323,1
AS135257,1
AS135407,1
AS135920,1
AS136195,1
AS137674,1
AS138096,1
AS140443,1
AS140726,1
AS140760,1
AS141069,1
AS141898,1
AS141990,1
AS146932,1
AS149013,1
AS149125,1
AS150156,1
AS197554,1
AS198039,1
AS198187,1
AS199449,1
AS202984,1
AS208626,1
AS209279,1
AS210756,1
AS212283,1
AS213944,1
AS214820,1
AS215052,1
AS262942,1
AS263238,1
AS265862,1
AS266592,1
AS267239,1
AS267396,1
AS267507,1
AS271186,1
AS328611,1
AS395101,1
AS3170,1
AS3449,1
AS4658,1
AS6830,1
AS6863,1
AS6866,1
AS8220,1
AS8439,1
AS8764,1
AS9340,1
AS9416,1
AS9506,1
AS9902,1
AS10199,1
AS11404,1
AS12491,1
AS12695,1
AS13009,1
AS15447,1
AS15704,1
AS17501,1
AS17622,1
AS20207,1
AS20312,1
AS20677,1
AS23655,1
AS23700,1
AS23944,1
AS24173,1
AS24435,1
AS24521,1
AS24866,1
AS25227,1
AS25846,1
AS25933,1
AS28160,1
AS28189,1
AS28209,1
AS29231,1
AS29571,1
AS29802,1
AS30619,1
AS30855,1
AS30886,1
AS31122,1
AS31492,1
AS34876,1
AS34911,1
AS35047,1
AS36242,1
AS37518,1
AS39028,1
AS39134,1
AS42713,1
AS44066,1
AS44895,1
AS45305,1
AS46042,1
AS46558,1
AS47438,1
AS47733,1
AS47952,1
AS48753,1
AS50613,1
AS51043,1
AS52654,1
AS53089,1
AS53166,1
AS55688,1
AS57214,1
AS59135,1
AS60377,1
AS60602,1
AS61432,1
AS62164,1
AS64236,1
AS132298,1
AS132445,1
AS132960,1
AS133993,1
AS134113,1
AS135234,1
AS135661,1
AS135699,1
AS135718,1
AS135806,1
AS136171,1
AS136294,1
AS137451,1
AS137702,1
AS137964,1
AS138134,1
AS138136,1
AS138169,1
AS138982,1
AS139508,1
AS139996,1
AS140456,1
AS146996,1
AS149118,1
AS149734,1
AS149963,1
AS152156,1
AS198203,1
AS198610,1
AS198769,1
AS200475,1
AS201308,1
AS201776,1
AS202662,1
AS204804,1
AS206728,1
AS209160,1
AS213250,1
AS213373,1
AS214567,1
AS216300,1
AS262208,1
AS263073,1
AS263349,1
AS263717,1
AS264284,1
AS264321,1
AS265393,1
AS265493,1
AS266327,1
AS267285,1
AS268470,1
AS268622,1
AS268715,1
AS270069,1
AS270753,1
AS327941,1
AS328608,1
AS398395,1
AS400509,1
AS766,1
AS834,1
AS2519,1
AS3258,1
AS3925,1
AS4769,1
AS5087,1
AS5645,1
AS6855,1
AS7226,1
AS8615,1
AS8851,1
AS8968,1
AS9444,1
AS10013,1
AS10094,1
AS10439,1
AS13092,1
AS17547,1
AS17577,1
AS18024,1
AS20326,1
AS21699,1
AS22051,1
AS23316,1
AS25490,1
AS28178,1
AS28219,1
AS29544,1
AS29614,1
AS34300,1
AS34559,1
AS34757,1
AS36955,1
AS37468,1
AS38278,1
AS39020,1
AS41911,1
AS42245,1
AS43350,1
AS43451,1
AS44034,1
AS44845,1
AS48004,1
AS48207,1
AS48874,1
AS49126,1
AS49157,1
AS49453,1
AS49800,1
AS50716,1
AS51557,1
AS52260,1
AS55286,1
AS55947,1
AS55967,1
AS57044,1
AS58715,1
AS60781,1
AS61068,1
AS62183,1
AS62300,1
AS63018,1
AS63731,1
AS63801,1
AS131178,1
AS131773,1
AS133619,1
AS134014,1
AS135901,1
AS136698,1
AS137324,1
AS138198,1
AS138678,1
AS138737,1
AS139441,1
AS139549,1
AS139736,1
AS140481,1
AS140826,1
AS140833,1
AS142062,1
AS142341,1
AS149600,1
AS150075,1
AS150132,1
AS150636,1
AS150897,1
AS151885,1
AS199968,1
AS201579,1
AS203576,1
AS207143,1
AS207279,1
AS210079,1
AS210092,1
AS211183,1
AS211857,1
AS212271,1
AS214088,1
AS214348,1
AS215026,1
AS215633,1
AS215789,1
AS216234,1
AS262320,1
AS263693,1
AS264197,1
AS264582,1
AS265269,1
AS265523,1
AS265714,1
